Row,Load_F1,Load_F2,Load_F3,Load_F4,RT_F1,RT_F2,RT_F3,RT_F4,Util_F1,Util_F2,Util_F3,Util_F4
row_1,0.5,0.5,0.5,0.5,0.05026666666666665,0.10793333333333334,0.08775000000000001,0.10923333333333331,0.95,0.8833333333333333,0.9,0.9166666666666666
row_2,1.0,0.5,0.5,0.5,0.96591452991453,1.3457666666666668,1.2465333333333333,1.2922280701754387,0.27350427350427353,0.13333333333333333,0.16666666666666666,0.14035087719298245
row_3,0.5,1.0,0.5,0.5,18.583750000000002,13.899850000000002,16.001848484848487,16.444703703703706,0.0,0.0,0.0,0.0
row_4,1.5,0.2,0.2,0.2,10.313699999999999,11.505095238095238,9.221882352941176,10.289733333333334,0.07142857142857142,0.0,0.0,0.0
row_5,0.2,1.5,0.2,0.2,13.377277777777778,10.288443609022556,11.633882352941177,12.202684210526316,0.0,0.06766917293233082,0.0,0.0
row_6,0.8,0.8,0.8,0.8,24.43973076923077,23.81222857142857,21.324676470588237,24.077299999999994,0.0,0.0,0.0,0.0
row_7,1.2,0.5,0.5,1.2,23.36927083333333,22.242299999999997,22.55582608695652,27.97370967741935,0.0,0.0,0.0,0.0
row_8,1.5,1.0,0.5,0.5,23.86505882352941,23.375060606060607,24.365863636363635,27.016058823529413,0.0,0.0,0.0,0.0
row_9,0.5,1.5,1.0,0.5,24.882599999999996,22.925892857142856,21.100925,19.826150000000002,0.0,0.0,0.0,0.0
row_10,1.0,1.0,1.4,1.4,24.89496666666667,22.892444444444443,24.67738888888889,23.547911764705884,0.0,0.0,0.0,0.0
